Samples,TICID,KICID,Tmag,Kmag,Teff,Rs,GAIAID,RUWE,Gmag,Teff_G,logg_G,[Fe/H]_G,Rs_G,SpType-ELS,Prot,Nf_previous,Nf_TESS,TESS_Sector,Nf_Kepler,Kepler_Quarter,Separation 
Sample-2,178350442,,9.6298,,5136,1.00468,5.09434E+18,1.2453916,10.18209,5049.626,4.3626,-0.3307,1.071,K,3.37,1,3,['S2'],,,
Sample-2,178969585,,7.8881,,5785,1.01443,4.89173E+18,1.0271124,8.333164,5756.6396,4.328,-0.2695,1.0374,G,2.39,2,20,['S2'],,,
Sample-2,179951420,,9.5816,,5848,0.968086,6.10401E+18,2.6878405,10.02293,5572.6567,4.3469,-1.0428,1.055,G,1.38,1,2,['S2'],,,
Sample-2,206592394,,7.9109,,5597,0.883252,4.90985E+18,1.0704241,8.389969,5377.6289,4.4147,-0.5954,0.9589,G,3.43,8,39,['S2'],,,
Sample-2,20891744,,11.1144,,5155,1.23517,2.34063E+18,1.9535564,11.65106,5735.9043,4.2569,-0.0717,1.1715,K,1.54,1,2,['S2'],,,
Sample-2,214772274,,8.8293,,5535,0.989344,6.54719E+18,10.459321,9.301712,,,,,G,3.17,1,11,['S2'],,,
Sample-2,225700322,,11.3605,,5239,1.26361,6.21314E+18,28.109585,12.035484,5401.8735,4.5961,-0.4316,0.7218,K,2.55,1,2,['S2'],,,
Sample-2,23193695,,9.92498,,5785.23,0.886484,5.1799E+18,1.6511863,10.388142,5468.4199,4.4194,-0.4484,0.9669,G,4.47,2,3,['S2'],,,
Sample-2,241289894,,8.6696,,5744,1.53305,6.06903E+18,1.2239224,9.157009,5728.3711,4.0124,-0.3025,1.5546,G,1.28,4,22,['S2'],,,
Sample-2,241343119,,10.0341,,5821,0.971268,6.07037E+18,1.2110823,10.47962,5588.4648,4.3714,-0.5417,1.0483,G,2.51,1,4,['S2'],,,
Sample-2,241363085,,9.8873,,5470,1.20119,6.06888E+18,1.2827047,10.426209,5190.7827,4.2627,-0.5223,1.2618,K,3.89,1,8,['S2'],,,
Sample-2,245871431,,8.3526,,5901,1.37608,3.30663E+18,1.0972509,8.773599,5869.5137,4.0872,-0.3186,1.4145,G,1.86,1,1,['S2'],,,
Sample-2,250130672,,10.6644,,5729.19,0.968948,3.25531E+18,0.9256306,11.143324,5550.8682,4.4193,-0.1593,0.9962,G,2.95,1,3,['S2'],,,
Sample-2,251083171,,10.1901,,5533.63,0.85299,2.50016E+18,1.2685429,10.731691,5051.7666,4.3406,-0.75,1.0535,K,1.16,1,7,['S2'],,,
Sample-2,259318185,,10.4148,,5258,0.941032,,,,,,,,,1.01,2,6,['S2'],,,
Sample-2,261389834,,9.0127,,5523,1.51927,6.09005E+18,1.3806891,9.549696,5431.521,4.1272,-0.7183,1.5919,G,4.05,1,10,['S2'],,,
Sample-2,266851670,,8.9633,,5497,1.2913,5.34241E+18,1.1467636,9.475752,5225.4727,4.1958,-0.7347,1.3792,K,2.92,1,7,['S2'],,,
Sample-2,272456799,,8.41996,,5874,1.46056,6.2112E+18,1.1433089,8.838015,5821.0498,4.1892,-0.3531,1.4758,G,2.18,4,10,['S2'],,,
Sample-2,283630171,,11.7391,,5668.62,1.49535,3.30345E+18,4.2168126,12.446886,5573.9844,4.1027,-0.6984,1.6827,G,2.41,2,6,['S2'],,,
Sample-2,286147872,,10.5318,,5528,0.928121,3.48787E+18,3.3784287,11.029521,,,,,G,3.72,2,2,['S2'],,,
Sample-2,286912556,,9.76476,,5837,1.13018,3.50189E+18,0.97783667,10.201489,5633.335,4.2829,-0.5428,1.2315,G,2.39,1,6,['S2'],,,
Sample-2,29939923,,9.68865,,5386,1.30878,2.45233E+18,0.9660439,10.204836,5506.6914,4.27,-0.1789,1.313,G,2.74,1,2,['S2'],,,
Sample-2,30946945,,10.3215,,5334,1.16768,2.90636E+18,1.0022972,10.82873,5315.7461,4.2858,-0.5558,1.2168,K,1.78,2,4,['S2'],,,
Sample-2,312590891,,9.4539,,5803,1.20874,5.86835E+18,0.84839046,9.90535,5637.3535,4.2842,-0.3112,1.2567,G,2.39,1,11,['S2'],,,
Sample-2,316835177,,10.7701,,5333,0.826406,2.98021E+18,1.6676655,11.282427,5270.4106,4.4902,-0.403,0.8484,K,1.53,1,3,['S2'],,,
Sample-2,316918406,,10.488,,5403,0.91647,2.98626E+18,1.2844282,10.968336,5582.2222,4.4563,-0.0938,0.9071,G,1.8,1,6,['S2'],,,
Sample-2,322051377,,9.4014,,5339,0.82959,4.93175E+18,0.9204867,9.915905,5652.144,4.5755,-0.2121,0.805,G,2.54,1,12,['S2'],,,
Sample-2,328349131,,10.7357,,5832,0.959069,2.6623E+15,0.9857078,11.195261,5803.6724,4.4772,-0.1097,0.9288,G,3.6,1,1,['S2'],,,
Sample-2,32874669,,9.5507,,5147,0.837809,2.9048E+18,1.0835965,10.121469,5372.3057,4.4951,-0.1462,0.8297,K,4.73,4,14,['S2'],,,
Sample-2,32930236,,10.3875,,5216,0.829402,2.90432E+18,1.2433132,10.946426,5001.3599,4.4302,-0.8888,0.8864,K,3.4,1,1,['S2'],,,
Sample-2,334207648,,9.7498,,5242,0.828724,5.85838E+18,0.79140985,10.272172,5181.6719,4.4704,-0.4427,0.8716,K,4.79,2,11,['S2'],,,
Sample-2,334684206,,9.6784,,5140.08,1.22137,6.12659E+18,1.0136815,10.267543,5134.9336,4.2305,-0.4877,1.3349,K,3.59,1,14,['S2'],,,
Sample-2,34509850,,9.925,,5708,1.14654,3.01391E+18,2.6951096,10.396709,5855.6841,4.2317,-0.3554,1.1656,F,2.22,1,4,['S2'],,,
Sample-2,36828969,,10.7739,,5761,1.21207,5.17249E+18,1.0060015,11.234899,5738.6479,4.2176,-0.0805,1.2253,G,1.01,2,3,['S2'],,,
Sample-2,36831287,,9.3043,,5182,0.811674,5.17262E+18,1.0324901,9.842974,5220.5122,4.5141,-0.1024,0.8074,G,2.54,1,4,['S2'],,,
Sample-2,373260982,,10.6376,,5824,0.890921,3.29435E+18,1.3953398,11.250119,4922.8745,4.3572,-0.7462,1.011,K,2.55,2,10,['S2'],,,
Sample-2,379329149,,9.4096,,5955,0.99946,6.054E+18,0.72319853,9.860881,5549.4482,4.3408,-0.6146,1.1015,G,1.41,3,18,['S2'],,,
Sample-2,38048089,,10.1814,,5828.52,1.02647,3.19929E+18,2.7767563,10.628353,5601.0576,4.3752,-0.5076,1.0463,G,3.61,1,1,['S2'],,,
Sample-2,38402758,,9.3023,,5472,1.00266,3.24407E+18,1.1169338,9.793106,5728.2925,4.3549,-0.2612,1.0018,G,1.08,6,24,['S2'],,,
