,Samples,TICID,KICID,all_alp_orig,all_alp_origerr,all_beta_orig,all_beta_origerr,all_alp_corr,all_alp_correrr,all_beta_corr,all_beta_correrr,up15_alp_orig,up15_alp_origerr,up15_beta_orig,up15_beta_origerr,up15_alp_corr,up15_alp_correrr,up15_beta_corr,up15_beta_correrr,up65_alp_orig,up65_alp_origerr,up65_beta_orig,up65_beta_origerr,up65_alp_corr,up65_alp_correrr,up65_beta_corr,up65_beta_correrr
41,Sample-2,403121294,,-0.640780267,0.062313105,20.95140168,2.096095472,-0.848089956,0.04954646,28.26960158,1.671196534,-0.702166004,0.108570609,23.03931634,3.675828578,-0.731679325,0.062175033,24.29009415,2.112273504,-0.991914059,0.181525842,32.93836107,6.185584145,-0.748813475,0.102157817,24.88539019,3.499115967
42,Sample-2,405846469,,-0.504538698,0.070257851,16.0525241,2.38627121,-0.603747948,0.122618597,19.5921428,4.180692793,-0.44945235,0.041700368,14.15433449,1.421738263,-0.504840402,0.136019213,16.17154947,4.661042443,,,,,,,,
43,Sample-2,406376496,,-0.582840461,0.049106462,19.11540715,1.67658215,-1.050360177,0.088034733,35.574812,3.02412367,-0.577150516,0.078057714,18.91915145,2.680518496,-0.801555925,0.045055561,26.91676716,1.559285072,-0.836234596,0.058922207,27.90183131,2.042331542,-0.819464998,0.078088305,27.54106985,2.714146189
44,Sample-2,416741712,,-0.418959822,0.071107285,13.40205302,2.426520598,-0.648230094,0.175879075,21.54337788,6.040958228,-0.409535462,0.102779143,13.07383502,3.528544526,-0.429392381,0.148754848,13.89098491,5.148033434,,,,,,,,
45,Sample-2,422848239,,-0.577414966,0.040796431,18.48573516,1.370953234,-0.98573437,0.180568489,32.56597562,6.106900509,-0.660253626,0.005131869,21.30983994,0.173943179,-0.697027106,0.111835015,22.70382649,3.798781985,,,,,,,,
46,Sample-2,423831579,,-0.843937863,0.072279573,28.06540401,2.456854564,-1.206197476,0.065213551,40.83941547,2.230207997,-0.936095234,0.113611697,31.22990242,3.886083418,-1.32079127,0.085943215,44.79137704,2.952825478,-1.206851057,0.227058986,40.56242693,7.824857649,-1.463865067,0.214806234,49.75014695,7.427234339
47,Sample-2,425142527,,-1.281394421,0.317983201,42.44293965,10.78742451,-1.44640651,0.385085209,48.39941371,13.1623068,-1.281394421,0.317983201,42.44293965,10.78742451,-1.44640651,0.385085209,48.39941371,13.1623068,,,,,,,,
48,Sample-2,430829746,,-0.404414084,0.114507854,12.63920027,3.870178593,-0.972821359,0.156422506,32.5495062,5.306949853,,,,,,,,,,,,,,,,
49,Sample-2,43472154,,-0.58733256,0.038305195,19.70940225,1.299391202,-0.676537144,0.023564752,22.94220448,0.801034147,-0.614501309,0.048602804,20.641957,1.655291478,-0.680421592,0.03351249,23.07627576,1.145984705,-0.649148106,0.064685631,21.83461934,2.211808271,-0.684020399,0.043945088,23.20102697,1.508688875
50,Sample-2,436998675,,-0.686018528,0.053706836,22.62443294,1.812878383,-0.901491333,0.040744277,30.24979696,1.382226088,-0.761435475,0.076330171,25.20192355,2.592086409,-0.8864754,0.064556377,29.73286691,2.204345641,-0.998089514,0.093928928,33.33004324,3.219691151,-1.072543817,0.110952177,36.16901514,3.82377213
51,Sample-2,442868242,,-0.684684228,0.061175042,22.1076186,2.043873535,-1.041673561,0.090834578,34.35668706,3.042513953,-0.73115376,0.092802553,23.67775533,3.116406264,-0.868868748,0.081138053,28.50440528,2.730006372,-0.738520345,0.184230859,23.92716069,6.221478125,-0.790804459,0.103125948,25.85407117,3.485641509
52,Sample-2,455007634,,-0.925867847,0.060403438,30.70806161,2.044208884,-1.090386086,0.049444854,36.60345752,1.682436415,-0.953867571,0.067081283,31.66412304,2.273960628,-1.090386086,0.049444854,36.60345752,1.682436415,-1.208235044,0.105384138,40.3760655,3.601022472,-1.084259861,0.060384274,36.39569562,2.065088527
53,Sample-2,46386531,,-0.66796319,0.03666266,21.96981048,1.233190783,-0.893302762,0.03110654,29.99604776,1.056595886,-0.717369744,0.055043588,23.65278073,1.86676142,-0.914342313,0.050235703,30.72170704,1.720155388,-0.745936637,0.10593104,24.63424668,3.617814224,-0.874846958,0.055405511,29.35712741,1.901604194
54,Sample-2,49935737,,-0.491322963,0.12832239,15.87718806,4.38826359,-0.807994797,0.071662954,27.00815065,2.464392062,-0.792621515,0.107792667,26.2857108,3.711911109,-1.062854216,0.050654511,35.88364767,1.761131115,-0.70208897,0.101337814,23.13506913,3.502025566,-1.062854216,0.050654511,35.88364767,1.761131115
55,Sample-2,52588257,,-0.316903145,0.069590798,9.729345775,2.369514227,-0.733123018,0.345646892,24.39784457,11.83413822,,,,,,,,,,,,,,,,
56,Sample-2,53417036,,-0.529222497,0.022521051,17.32285816,0.758969802,-0.628305062,0.038015577,20.92057884,1.288719938,-0.565756049,0.021680925,18.57394444,0.734548217,-0.57323098,0.018234563,19.02015063,0.622769633,-0.610656182,0.023385615,20.11873668,0.798772877,-0.590442845,0.019792325,19.61622874,0.678751353
57,Sample-2,79403675,,-0.703520164,0.031888237,23.16127205,1.070937635,-0.719549824,0.017850553,23.9416729,0.601651364,-0.723322733,0.033751007,23.83554604,1.136359959,-0.722426082,0.020736528,24.04009762,0.700995034,-0.74324557,0.053387818,24.5149935,1.811769415,-0.75469275,0.026551425,25.15115506,0.90503931
59,Sample-2,92347098,,-0.458136738,0.019881226,14.92285142,0.678723338,-0.605465608,0.037461948,20.18277121,1.276838058,-0.445460276,0.030086857,14.48142434,1.036109537,-0.502240087,0.021971892,16.58596956,0.756734703,-0.408325969,0.016362879,13.18155906,0.566006266,-0.507884875,0.027031405,16.78343247,0.934676193
